Player,Date,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_NYK,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3
Julius Randle,2023-10-25,34,14,11,7,2,0.0,0.227,0.375,0.289,29.1,2.8,0,0.2,90.0,111.0,9.6,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,7.0,2.0,0.0,0.227,0.375,0.2,29.1,90.0,111.0,9.6,0.0
Julius Randle,2023-10-27,34,17,12,9,0,0.0,0.4,0.429,0.629,19.6,4.4,3,0.75,131.0,118.0,17.3,2,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,11.5,8.0,1.0,1.5,0.3135,0.402,0.475,24.35,110.5,114.5,13.45,1.08399
Julius Randle,2023-10-28,34,10,12,4,0,0.0,0.267,0.0,0.315,29.3,-13.7,8,1.0,51.0,97.0,-2.1,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.666666666666666,11.666666666666666,6.666666666666667,0.6666666666666666,3.6666666666666665,0.298,0.268,0.65,26.0,90.66666666666669,108.66666666666669,8.266666666666667,0.986016
Julius Randle,2023-10-31,31,19,10,2,1,0.0,0.357,0.4,0.516,26.7,5.3,1,0.7,118.0,94.0,15.2,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.25,5.5,0.75,3.0,0.31275,0.301,0.6625,26.175,97.5,105.0,10.0,1.23472
Julius Randle,2023-11-01,35,6,6,4,1,0.0,0.2,0.0,0.2,20.7,-10.1,3,0.0,47.0,102.0,-1.5,5,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,10.2,5.2,0.8,3.0,0.2902,0.2408,0.53,25.08,87.4,104.4,7.7,1.09782
Julius Randle,2023-11-03,39,16,12,5,2,0.0,0.25,0.111,0.334,26.3,-1.0,1,0.556,91.0,108.0,10.5,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.666666666666666,10.5,5.166666666666667,1.0,2.6666666666666665,0.2835,0.2191666666666666,0.5343333333333333,25.28333333333333,88.0,105.0,8.166666666666666,1.30195
Julius Randle,2023-11-06,37,27,10,3,0,0.0,0.429,0.375,0.571,33.8,-2.6,6,1.0,106.0,108.0,14.6,7,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.571428571428571,10.428571428571429,4.857142857142857,0.8571428571428571,3.142857142857143,0.3042857142857142,0.2414285714285714,0.6008571428571428,26.5,90.57142857142856,105.42857142857144,9.085714285714284,1.15594
Julius Randle,2023-11-08,31,23,16,5,1,0.0,0.421,0.333,0.511,33.5,5.3,2,0.625,116.0,102.0,20.2,8,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.5,11.125,4.875,0.875,3.0,0.318875,0.252875,0.6038749999999999,27.375,93.75,105.0,10.475,1.38702
Julius Randle,2023-11-12,27,23,5,5,3,0.0,0.5,0.25,0.589,36.5,6.8,3,0.75,121.0,106.0,19.2,9,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.22222222222222,10.444444444444445,4.888888888888889,1.1111111111111112,3.0,0.339,0.2525555555555556,0.6201111111111111,28.38888888888889,96.77777777777776,105.11111111111111,11.444444444444445,1.11006
Julius Randle,2023-11-13,38,25,9,5,0,0.0,0.368,0.25,0.524,35.0,0.9,3,0.818,115.0,137.0,16.5,10,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.3,4.9,1.0,3.0,0.3419,0.2523,0.6399,29.05,98.6,108.3,11.95,0.936372
